River, Reach, RS, Station, Elevation
River1, Reach1, 0, 0, 2601.466668
River1, Reach1, 0, 2.716668, 2601.466668
River1, Reach1, 0, 5.650005, 2600.0
River1, Reach1, 0, 10.650005, 2600.0
River1, Reach1, 0, 13.583342, 2601.466668
River1, Reach1, 0, 16.300011, 2601.466668
River1, Reach1, 100.0, 0, 2601.556358
River1, Reach1, 100.0, 2.716668, 2601.556358
River1, Reach1, 100.0, 5.650005, 2600.08969
River1, Reach1, 100.0, 10.650005, 2600.08969
River1, Reach1, 100.0, 13.583342, 2601.556358
River1, Reach1, 100.0, 16.300011, 2601.556358
